col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
168,57409,276,3905,3.4,72989.3,29.4,77615,0,COSMIC
169,57456,80,1789,1.0,72989.3,29.4,5584,0,COSMIC
170,57956,81,1244,0.8,72989.3,29.4,41603,0,COSMIC
171,58875,82,846,0.6,72989.3,29.4,85149,0,COSMIC
172,59264,117,2863,1.6,72989.3,29.4,41788,0,COSMIC
173,60103,262,3686,3.1,72992.5,29.4,77773,0,COSMIC
174,60670,85,1876,1.0,72989.3,29.4,41720,0,COSMIC
175,61328,81,748,0.6,72989.8,29.4,41782,0,COSMIC
176,62103,82,1276,0.8,72989.3,29.4,77595,0,COSMIC
177,62336,99,2516,1.4,72989.3,29.4,5572,0,COSMIC
178,62466,81,1261,0.8,72989.3,29.4,5413,0,COSMIC
179,63409,149,3245,2.0,72989.8,29.4,77495,0,COSMIC
180,63758,89,2094,1.1,72989.8,29.4,41748,0,COSMIC
181,63824,96,2441,1.3,72989.8,29.4,5535,0,COSMIC
182,64458,150,3541,2.1,72989.8,29.4,41659,0,COSMIC
183,64693,88,1992,1.1,72990.4,29.4,41739,0,COSMIC
184,65402,82,938,0.7,72987.2,29.4,41698,0,COSMIC
185,65794,78,621,0.5,72989.3,29.4,41751,0,COSMIC
186,65919,88,2023,1.1,72989.3,29.4,5526,0,COSMIC
187,65990,81,1290,0.8,72989.3,29.4,5417,0,COSMIC
188,66071,77,767,0.6,72989.3,29.4,41611,0,COSMIC
189,66167,82,1798,1.0,72989.3,29.4,5571,0,COSMIC
190,66578,88,2133,1.2,72989.3,29.4,41571,0,COSMIC
191,66685,77,866,0.6,72989.3,29.4,5533,0,COSMIC
192,66695,76,873,0.6,72989.3,29.4,5393,0,COSMIC
193,67250,118,2888,1.6,72986.7,29.4,41554,0,COSMIC
194,67320,79,1473,0.9,72986.7,29.4,5550,0,COSMIC
195,68207,84,1775,1.0,72990.4,29.4,77476,0,COSMIC
196,68444,80,1421,0.8,72990.4,29.4,5567,0,COSMIC
197,68918,76,747,0.6,72990.4,29.4,41618,0,COSMIC
198,69563,118,3009,1.7,72990.4,29.4,77455,0,COSMIC
199,70189,81,1154,0.7,72990.4,29.4,41701,0,COSMIC
200,70302,78,623,0.5,72990.4,29.4,5575,0,COSMIC
201,70702,106,2584,1.4,72990.4,29.4,41559,0,COSMIC
202,71130,94,2154,1.2,72987.2,29.4,41676,0,COSMIC
203,71336,177,3615,2.4,72987.2,29.4,5515,0,COSMIC
204,71578,105,2516,1.4,72984.5,29.4,41568,0,COSMIC
205,71602,96,2424,1.3,72984.5,29.4,5501,0,COSMIC
206,72955,84,1803,1.0,72985.6,29.4,77452,0,COSMIC
207,73347,134,3228,1.9,72985.0,29.4,41717,0,COSMIC
208,73420,94,2370,1.3,72985.0,29.4,5537,0,COSMIC
209,73631,80,1602,0.9,72987.7,29.4,41501,0,COSMIC
210,73957,80,1621,0.9,72987.7,29.4,5549,0,COSMIC
211,74776,77,714,0.6,72990.9,29.4,77461,0,COSMIC
212,74938,82,1256,0.8,72990.9,29.4,5565,0,COSMIC
213,75418,371,4095,4.5,72990.9,29.4,41594,0,COSMIC
214,76380,103,2538,1.4,72993.6,29.4,77495,0,COSMIC
215,76433,112,3091,1.7,72993.6,29.4,5575,0,COSMIC
216,77125,79,991,0.7,72993.6,29.4,77360,0,COSMIC
217,77482,120,3208,1.8,72993.6,29.4,5518,0,COSMIC
218,77575,90,2211,1.2,72988.2,29.4,41569,0,COSMIC
